channel_name,event_date,ihc,cost,revenue,CPO,ROAS
Affiliate & Partnerships,2023-08-29,7.000000000000005,436.4149999999989,16623.030000000046,62.34499999999979,38.08996024426312
Affiliate & Partnerships,2023-08-30,1.0,15.024,415.2,15.024,27.635782747603834
Affiliate & Partnerships,2023-08-31,2.000000000000001,163.128,3277.170000000001,81.56399999999995,20.089561571281454
Affiliate & Partnerships,2023-09-01,20.0,342.3989999999997,8462.369999999988,17.119949999999985,24.714937835682917
Affiliate & Partnerships,2023-09-02,12.999999999999995,466.53900000000027,7598.489999999996,35.88761538461542,16.286934211287786
Affiliate & Partnerships,2023-09-03,16.99999999999999,168.56199999999987,4312.3799999999965,9.915411764705881,25.58334618715962
Affiliate & Partnerships,2023-09-04,19.999999999999982,111.30099999999992,6153.4400000000005,5.565050000000001,55.286475413518346
Affiliate & Partnerships,2023-09-05,13.000000000000002,97.53999999999992,5120.690000000002,7.503076923076916,52.49835964732424
Affiliate & Partnerships,2023-09-06,24.999999999999968,93.16799999999999,5168.73,3.7267200000000043,55.47752447192169
Affiliate & Partnerships,2023-09-07,24.000000000000036,254.5860000000008,14861.830000000036,10.607750000000017,58.376462177810204
Direct Traffic,2023-08-29,39.99999999999996,0.0,16026.66,0.0,inf
Direct Traffic,2023-08-30,43.000000000000014,0.0,17742.289999999986,0.0,inf
Direct Traffic,2023-08-31,46.99999999999997,0.0,14745.659999999993,0.0,inf
Direct Traffic,2023-09-01,122.00000000000003,0.0,23260.01000000003,0.0,inf
Direct Traffic,2023-09-02,150.9999999999999,0.0,34930.35000000002,0.0,inf
Direct Traffic,2023-09-03,168.99999999999997,0.0,25962.07000000004,0.0,inf
Direct Traffic,2023-09-04,180.9999999999998,0.0,34234.58999999995,0.0,inf
Direct Traffic,2023-09-05,145.00000000000006,0.084,28207.479999999963,0.0005793103448275861,335803.33333333285
Direct Traffic,2023-09-06,122.00000000000011,0.0,17753.129999999976,0.0,inf
Direct Traffic,2023-09-07,100.00000000000001,0.0,17803.85999999999,0.0,inf
FB & IG Ads,2023-08-29,5.0,45.06100000000001,846.21,9.012200000000002,18.779210403675016
FB & IG Ads,2023-08-30,1.0,13.396,311.92,13.396,23.284562555986863
FB & IG Ads,2023-08-31,4.999999999999999,37.678,162.55000000000004,7.5356000000000005,4.3141886512022944
FB & IG Ads,2023-09-01,40.0,129.76400000000004,3422.0300000000007,3.244100000000001,26.371181529545943
FB & IG Ads,2023-09-02,38.999999999999964,195.8269999999998,3706.820000000002,5.0212051282051275,18.929054726876302
FB & IG Ads,2023-09-03,45.00000000000003,213.93799999999987,2802.239999999999,4.754177777777772,13.098374295356601
FB & IG Ads,2023-09-04,39.00000000000005,203.45200000000008,2381.7899999999977,5.216717948717944,11.706889094233514
FB & IG Ads,2023-09-05,25.0,121.70600000000007,1379.8299999999997,4.868240000000003,11.337403250456008
FB & IG Ads,2023-09-06,31.00000000000001,158.88099999999991,1514.1599999999999,5.1251935483870925,9.530151497032374
FB & IG Ads,2023-09-07,24.99999999999999,110.20000000000003,1507.270000000001,4.408000000000003,13.677586206896557
Microsoft Ads,2023-08-31,0.9999999999999999,0.26,90.72,0.26000000000000006,348.9230769230769
Microsoft Ads,2023-09-02,7.0,4.986,690.8100000000002,0.7122857142857143,138.54993983152832
Microsoft Ads,2023-09-03,1.0,0.517,118.33,0.517,228.87814313346226
Microsoft Ads,2023-09-04,7.0,7.205000000000001,884.97,1.0292857142857144,122.82720333102012
Microsoft Ads,2023-09-05,4.0,5.811999999999999,216.32999999999998,1.4529999999999998,37.22126634549209
Microsoft Ads,2023-09-06,1.0,0.16,258.8,0.16,1617.5
Microsoft Ads,2023-09-07,3.0,1.535,130.47,0.5116666666666666,84.99674267100977
Newsletter & Email,2023-08-29,19.000000000000014,0.0,29720.410000000105,0.0,inf
Newsletter & Email,2023-08-30,4.999999999999999,0.0,2260.92,0.0,inf
Newsletter & Email,2023-08-31,77.99999999999997,0.0,29010.37000000001,0.0,inf
Newsletter & Email,2023-09-01,94.99999999999997,0.0,33751.16000000002,0.0,inf
Newsletter & Email,2023-09-02,82.99999999999994,0.0,23667.37999999999,0.0,inf
Newsletter & Email,2023-09-03,91.99999999999999,0.0,18386.519999999982,0.0,inf
Newsletter & Email,2023-09-04,264.9999999999994,0.0,48951.41000000003,0.0,inf
Newsletter & Email,2023-09-05,57.00000000000002,0.0,9390.039999999994,0.0,inf
Newsletter & Email,2023-09-06,49.99999999999998,0.0,9456.409999999982,0.0,inf
Newsletter & Email,2023-09-07,111.99999999999991,0.0,25856.709999999915,0.0,inf
Organic Traffic,2023-08-29,3.9999999999999996,0.0,877.5200000000002,0.0,inf
Organic Traffic,2023-08-30,10.00000000000001,0.0,8042.600000000001,0.0,inf
Organic Traffic,2023-08-31,14.999999999999984,0.0,4302.910000000002,0.0,inf
Organic Traffic,2023-09-01,33.00000000000001,0.0,5571.099999999998,0.0,inf
Organic Traffic,2023-09-02,38.0,0.0,5075.010000000003,0.0,inf
Organic Traffic,2023-09-03,50.00000000000002,0.0,8123.559999999992,0.0,inf
Organic Traffic,2023-09-04,50.000000000000014,1.629,11534.359999999982,0.03257999999999999,7080.638428483721
Organic Traffic,2023-09-05,59.00000000000007,0.0,8344.969999999992,0.0,inf
Organic Traffic,2023-09-06,45.99999999999998,0.0,6366.909999999995,0.0,inf
Organic Traffic,2023-09-07,34.999999999999964,0.0,6857.649999999996,0.0,inf
Paid Search Brand,2023-08-29,11.000000000000002,29.102,3238.24,2.6456363636363633,111.27207752044532
Paid Search Brand,2023-08-30,12.000000000000002,44.46899999999997,8443.830000000009,3.705749999999997,189.8812656007559
Paid Search Brand,2023-08-31,19.999999999999993,40.17400000000002,9836.04000000001,2.008700000000002,244.83596355852055
Paid Search Brand,2023-09-01,63.000000000000014,111.24299999999995,13976.289999999997,1.7657619047619035,125.63747831324221
Paid Search Brand,2023-09-02,53.0,90.7669999999999,12338.529999999995,1.7125849056603755,135.93629843445316
Paid Search Brand,2023-09-03,90.00000000000007,136.8389999999998,18207.179999999997,1.52043333333333,133.0554885668561
Paid Search Brand,2023-09-04,84.99999999999997,135.673,17148.599999999995,1.5961529411764712,126.39655642611275
Paid Search Brand,2023-09-05,43.00000000000001,82.834,8885.090000000007,1.9263720930232555,107.26380471786956
Paid Search Brand,2023-09-06,50.000000000000036,106.04399999999994,11863.280000000017,2.1208799999999974,111.87129870619765
Paid Search Brand,2023-09-07,67.00000000000001,99.79800000000002,9929.229999999989,1.4895223880597015,99.49327641836497
Paid Search Non Brand,2023-08-29,4.0,84.47299999999998,3823.3000000000006,21.118249999999996,45.26061581807206
Paid Search Non Brand,2023-08-30,0.9999999999999999,2.532,104.16,2.5320000000000005,41.137440758293835
Paid Search Non Brand,2023-08-31,3.0000000000000004,28.814000000000004,2189.0399999999995,9.604666666666667,75.97140279031024
Paid Search Non Brand,2023-09-01,7.0,32.408,1182.6099999999997,4.629714285714286,36.49129844482842
Paid Search Non Brand,2023-09-02,9.000000000000002,29.077,1489.3500000000004,3.2307777777777775,51.22089624101525
Paid Search Non Brand,2023-09-03,14.999999999999998,33.21400000000001,3721.7300000000023,2.214266666666668,112.05304991870901
Paid Search Non Brand,2023-09-04,5.0,38.037000000000006,623.97,7.607400000000001,16.404290559192365
Paid Search Non Brand,2023-09-05,7.0,23.726999999999997,562.3899999999999,3.3895714285714282,23.702532979306273
Paid Search Non Brand,2023-09-06,6.0,20.03899999999999,1565.7200000000003,3.3398333333333317,78.13363940316388
Paid Search Non Brand,2023-09-07,10.0,12.703000000000001,935.5000000000001,1.2703000000000002,73.64402109737857
Performance Max,2023-08-29,13.0,90.76899999999998,6853.120000000005,6.9822307692307675,75.50066652711837
Performance Max,2023-08-30,14.999999999999998,81.15599999999996,4885.679999999997,5.410399999999998,60.20109418896938
Performance Max,2023-08-31,23.99999999999995,150.85499999999993,13064.679999999991,6.28562500000001,86.60422259785885
Performance Max,2023-09-01,93.00000000000001,285.1010000000007,27501.939999999995,3.065602150537641,96.46384965328052
Performance Max,2023-09-02,128.00000000000028,406.6230000000015,15400.189999999953,3.176742187500005,37.87338640460548
Performance Max,2023-09-03,120.00000000000013,267.416,11682.839999999984,2.228466666666664,43.68788703742477
Performance Max,2023-09-04,160.00000000000054,748.0250000000058,41036.49999999991,4.67515625000002,54.85979746666167
Performance Max,2023-09-05,116.00000000000006,322.2020000000001,15294.21999999997,2.777603448275862,47.46779970329162
Performance Max,2023-09-06,116.99999999999999,386.80999999999995,13373.31999999998,3.3060683760683762,34.57335642822053
Performance Max,2023-09-07,81.0,198.392,6069.4699999999875,2.449283950617284,30.59332029517313
Referral,2023-08-29,1.0,0.0,80.07000000000001,0.0,inf
Referral,2023-08-31,4.0,0.0,2032.7700000000004,0.0,inf
Referral,2023-09-01,9.0,0.0,5943.799999999999,0.0,inf
Referral,2023-09-02,12.999999999999998,0.0,2354.8299999999986,0.0,inf
Referral,2023-09-03,21.0,0.0,4399.099999999999,0.0,inf
Referral,2023-09-04,30.99999999999998,0.0,11406.399999999989,0.0,inf
Referral,2023-09-05,13.000000000000002,0.0,2717.42,0.0,inf
Referral,2023-09-06,23.0,0.0,3308.9,0.0,inf
Referral,2023-09-07,8.000000000000004,0.0,5874.400000000003,0.0,inf
Social Organic,2023-08-29,1.0000000000000002,0.0,283.2999999999999,0.0,inf
Social Organic,2023-09-01,3.0,0.0,101.93,0.0,inf
Social Organic,2023-09-02,6.000000000000001,0.0,1103.1900000000003,0.0,inf
Social Organic,2023-09-03,2.0,0.0,199.56,0.0,inf
Social Organic,2023-09-04,7.000000000000002,0.0,1100.7500000000005,0.0,inf
Social Organic,2023-09-05,4.0,0.0,240.30999999999995,0.0,inf
Social Organic,2023-09-06,3.0,0.0,225.96,0.0,inf
Social Organic,2023-09-07,7.0,0.0,853.4100000000001,0.0,inf
TikTok Ads,2023-09-01,3.0,12.633000000000001,39.96,4.211,3.163144146283543
TikTok Ads,2023-09-02,1.0,2.641,18.33,2.641,6.940552820901173
TikTok Ads,2023-09-03,4.0,14.781,64.29999999999998,3.69525,4.350179284216222
TikTok Ads,2023-09-05,2.0,6.396,17.490000000000002,3.198,2.734521575984991
TikTok Ads,2023-09-06,2.0,6.993,71.9,3.4965,10.281710281710282
Untracked Conversions,2023-08-29,1.0,0.0,190.92,0.0,inf
Untracked Conversions,2023-09-01,9.0,0.0,718.59,0.0,inf
Untracked Conversions,2023-09-02,3.0,0.0,105.53,0.0,inf
Untracked Conversions,2023-09-03,10.0,0.0,747.9100000000001,0.0,inf
Untracked Conversions,2023-09-04,12.0,0.0,857.3000000000001,0.0,inf
Untracked Conversions,2023-09-05,3.0,0.0,555.2399999999999,0.0,inf
Untracked Conversions,2023-09-06,7.0,0.0,419.78000000000003,0.0,inf
Untracked Conversions,2023-09-07,10.0,0.0,818.1500000000001,0.0,inf
